Gene_1	Gene_2	Expression_Value
S000005153	S000004187	1.14396823
S000003259	S000005760	1.59109041
S000003701	S000005595	1.11066815
S000000123	S000000919	1.4526739
S000002241	S000003317	1.26455158
S000005040	S000005480	1.22461441
S000001765	S000006306	1.49981205
S000000123	S000003157	1.47720681
S000004380	S000001331	1.62923393
S000004385	S000004105	1.182664
S000000003	S000002219	1.18350065
S000006391	S000005708	1.1383527
S000002240	S000001639	1.25263287
S000005169	S000004306	1.32808141
S000005245	S000002879	1.37263498
S000005622	S000004038	1.55314368
S000001183	S000003091	1.27222897
S000002998	S000005246	1.60917225
S000005040	S000005011	1.32159886
S000002520	S000002457	1.1380977
S000005487	S000002790	1.31840764
S000000904	S000000123	1.23740685
S000004254	S000005480	1.11707025
S000000168	S000003103	1.55002242
S000003672	S000001007	1.43794308
S000001395	S000005040	1.42742965
S000005487	S000003115	1.61179237
S000001710	S000001401	1.13722771
S000001635	S000002419	1.13410449
S000002879	S000004855	1.48475773
S000002219	S000006247	1.3661556
S000001802	S000005487	1.37686648
S000000876	S000004440	1.60053307
S000004157	S000006052	1.25798308
S000001492	S000006119	1.14089714
S000002998	S000004038	1.46482948
S000003266	S000006247	1.29395878
S000002432	S000001489	1.12914919
S000003725	S000005839	1.10357993
S000006119	S000003317	1.75949969
S000002998	S000002240	1.37014016
S000001492	S000004433	1.11422978
S000005958	S000005481	1.2763688
S000004019	S000000919	1.26764207
S000005694	S000001106	1.18069892
S000006345	S000002764	1.12504177
S000003703	S000001543	1.20877254
S000001802	S000002879	1.16864356
S000004359	S000003446	1.36337524
S000003725	S000004325	1.29412784
S000006002	S000003071	1.39193185
S000004157	S000002233	1.14942308
S000004325	S000003091	1.3526612
S000003071	S000000627	1.45847905
S000002908	S000005246	1.13371802
S000004035	S000001161	1.34652265
S000001486	S000003452	1.17471704
S000004038	S000003103	1.81356202
S000006000	S000002471	1.2739744
S000005085	S000005422	1.17680538
S000000123	S000004433	1.50745812
S000002432	S000003044	1.22822316
S000005122	S000002240	1.63016581
S000005013	S000004855	1.37669338
S000003044	S000003115	1.39799657
S000003157	S000001063	1.15722267
S000004855	S000003071	1.31802821
S000004175	S000001314	1.45373374
S000005622	S000003115	1.55522378
S000003727	S000004065	1.33804218
S000003968	S000001314	1.95691525
S000005760	S000005013	1.43044218
S000005559	S000001217	1.15669487
S000005896	S000001331	1.31264235
S000001676	S000003260	1.23872393
S000003266	S000005106	1.44344204
S000004019	S000000780	1.19110186
S000004034	S000004332	1.12501039
S000001061	S000000235	1.32185196
S000003259	S000005040	1.26219006
S000006278	S000004124	1.31581997
S000004325	S000004855	1.19990108
S000005487	S000005480	1.37491044
S000002826	S000004284	1.19426749
S000005958	S000001802	1.11066832
S000004380	S000005589	1.32788504
S000002793	S000001395	1.17267793
S000001765	S000004433	1.56163724
S000005013	S000006000	1.31828378
S000003674	S000006141	1.40429194
S000000876	S000003266	1.58680705
S000002156	S000005819	1.28028109
S000005735	S000003514	1.10768903
S000003266	S000003115	1.62492846
S000005400	S000003380	1.57009402
S000004019	S000001246	1.3371236
S000004380	S000005399	1.25311626
S000004380	S000005622	1.52526856
S000005708	S000004317	1.47137346
S000000933	S000005487	1.78205613
S000004950	S000004880	1.10705538
S000005760	S000005487	1.45084178
S000002432	S000003115	1.1188913
S000002240	S000005487	1.45210467
S000000123	S000004336	1.11736615
S000005262	S000002314	1.3973932
S000001767	S000004380	1.10299754
S000004359	S000001395	1.38649808
S000002219	S000002240	1.43207238
S000005122	S000001314	1.91150532
S000000595	S000003927	1.17893913
S000001489	S000005011	1.469805
S000005621	S000005481	1.10849865
S000001401	S000002525	1.22671794
S000005245	S000006306	1.36560374
S000005750	S000005837	1.13741915
S000006052	S000006064	1.63105241
S000004359	S000003157	1.29191427
S000003968	S000003350	1.46342988
S000002998	S000006052	1.48220247
S000003115	S000000188	1.1131813
S000001246	S000005487	1.48665227
S000002998	S000006306	1.60212942
S000005760	S000003446	1.56511039
S000000385	S000003350	1.62650793
S000000123	S000003317	1.70781015
S000003159	S000001499	1.15503885
S000004019	S000002239	1.29205168
S000004351	S000005246	1.14720656
S000004051	S000005839	1.33856776
S000003446	S000001331	1.39429562
S000003259	S000001280	1.29726033
S000004351	S000000904	1.11477244
S000003399	S000001722	1.12618329
S000006064	S000005011	1.36568772
S000002457	S000003222	1.24084348
S000005693	S000005013	1.1075916
S000005316	S000001066	1.26820606
S000005011	S000002790	1.16586549
S000004175	S000005589	1.14928271
S000000905	S000000171	1.38031344
S000004157	S000006119	1.447874
S000000904	S000002233	1.14846976
S000000904	S000006119	1.47776076
S000002219	S000001236	1.15719818
S000005896	S000004175	1.13913785
S000002908	S000004038	1.18075806
S000001131	S000002826	1.10755541
S000003856	S000005061	1.22667885
S000006141	S000001063	1.12353745
S000003380	S000004528	1.93986806
S000001183	S000006000	1.24518719
S000005839	S000006000	1.26925608
S000004254	S000000876	1.11040917
S000000385	S000005839	1.54136513
S000003727	S000006000	1.18414423
S000006002	S000004051	1.48048657
S000005245	S000005013	1.78223273
S000004528	S000000627	1.22839844
S000002156	S000002826	1.48355196
S000000003	S000002879	1.23210765
S000005487	S000002233	1.17161957
S000003884	S000003317	1.51351877
S000000385	S000005106	1.45096593
S000003999	S000004441	1.20831386
S000005040	S000004336	1.19120083
S000001331	S000000627	1.16013889
S000006002	S000005106	1.40384925
S000003071	S000005589	1.64044337
S000001280	S000006000	1.28265272
S000003725	S000001395	1.16659106
S000003259	S000000919	1.28668094
S000006002	S000004038	1.23402163
S000001246	S000001331	1.3428765
S000001525	S000006324	1.1505084
S000001025	S000000123	1.13479285
S000004380	S000000385	1.55948263
S000005621	S000005400	1.10474936
S000003727	S000002790	1.2929294
S000006141	S000002233	1.22812911
S000005013	S000002879	1.44634499
S000002520	S000003209	1.18214257
S000004325	S000003266	1.42289512
S000005622	S000002879	1.58507312
S000005693	S000005399	1.1270852
S000002240	S000005040	1.29395497
S000003968	S000000780	1.54129011
S000005693	S000004019	1.37067636
S000005013	S000002240	1.51904807
S000006391	S000004528	1.28825228
S000001007	S000002471	1.48311886
S000001767	S000004528	1.17698047
S000003446	S000002790	1.37883047
S000003674	S000003906	1.26864759
S000006119	S000004051	1.55231769
S000001765	S000000780	1.30083999
S000003016	S000005683	1.26703091
S000002343	S000006306	1.17402532
S000000249	S000005262	1.62325549
S000005708	S000004157	1.14648138
S000002471	S000002239	1.14560768
S000000003	S000003968	1.33176863
S000003674	S000001765	1.21524783
S000006391	S000002908	1.14528609
S000004187	S000003999	1.2266876
S000001489	S000005839	1.34717049
S000003726	S000004254	1.36140276
S000003178	S000005316	1.17002007
S000005622	S000004317	1.45686084
S000005760	S000005011	1.57401198
S000003727	S000000919	1.29750218
S000002457	S000005446	1.17976192
S000000036	S000000235	1.11660088
S000005192	S000004926	1.16944087
S000001767	S000006119	1.2131806
S000001525	S000002314	1.33629963
S000003672	S000000919	1.31036472
S000004830	S000005589	1.10605042
S000000876	S000002466	1.18613581
S000005192	S000001732	1.32864899
S000001314	S000004051	1.70360891
S000001421	S000003703	1.10873296
S000002908	S000004359	1.15300664
S000004380	S000004065	1.55916308
S000000003	S000003071	1.22314094
S000006306	S000006064	1.56358894
S000005245	S000003380	1.32116087
S000000385	S000005481	1.93452775
S000000818	S000002520	1.27994251
S000001007	S000003380	1.59497896
S000004317	S000002471	1.30913696
S000004325	S000003672	1.48900671
S000001410	S000005622	1.32221133
S000000876	S000003884	1.4262483
S000003434	S000000925	1.18089445
S000005122	S000000385	1.83584918
S000003319	S000001280	1.11514975
S000004035	S000004200	1.47834313
S000006186	S000005982	1.10520123
S000003424	S000001543	1.52994868
S000001246	S000000919	1.50993518
S000005750	S000003968	1.13880498
S000002826	S000004065	1.85277497
S000002471	S000000627	1.21918218
S000000036	S000002826	1.2005205
S000005659	S000001395	1.39019143
S000003259	S000002240	1.36672669
S000001489	S000005802	1.24167944
S000002219	S000002239	1.55801262
S000004239	S000006141	1.13291277
S000002739	S000005163	1.19184653
S000006391	S000006306	1.26269561
S000004065	S000000627	1.42358803
S000004019	S000001331	1.43191321
S000004035	S000005595	1.21302974
S000001543	S000003222	1.14841593
S000000876	S000004433	1.62849169
S000004254	S000004728	1.3409591
S000005153	S000003884	1.30279696
S000000876	S000000780	1.49475173
S000001802	S000003906	1.21298747
S000004206	S000003949	1.12306693
S000005896	S000005487	1.42108361
S000006002	S000002240	1.35579637
S000001331	S000004332	1.12819365
S000000249	S000001421	1.2998731
S000003044	S000000933	1.70382363
S000005708	S000006002	1.15575897
S000003932	S000001714	1.10140558
S000004157	S000005122	1.44878934
S000004051	S000005487	1.4804178
S000004051	S000006000	1.26924311
S000005085	S000003586	1.11425875
S000006119	S000004332	1.23412421
S000005553	S000000004	1.10568541
S000004019	S000005246	1.36727373
S000001410	S000001639	1.17185553
S000006391	S000004317	1.12044625
S000001492	S000006391	1.244031
S000004038	S000003115	1.38366658
S000003266	S000005399	1.24025174
S000005760	S000004433	1.68480062
S000004884	S000002974	1.11806396
S000002908	S000005245	1.24051015
S000003884	S000001183	1.38168691
S000006141	S000005399	1.39817661
S000004528	S000001063	1.25981318
S000003157	S000001314	1.73898106
S000003968	S000005802	1.36719575
S000004440	S000004038	1.55098108
S000000904	S000003115	1.49455235
S000002793	S000003906	1.13380043
S000003266	S000002239	1.37397203
S000005153	S000005399	1.31294829
S000005400	S000004336	1.35501298
S000001331	S000003103	1.31004234
S000005708	S000003071	1.15613917
S000005958	S000005246	1.4878854
S000005122	S000005040	1.32625172
S000000180	S000005262	1.26528101
S000004187	S000002879	1.15332178
S000003044	S000002233	1.22800585
S000002855	S000003317	1.20917657
S000000123	S000005106	1.35279195
S000004380	S000000876	1.66722973
S000005896	S000004038	1.37179977
S000006011	S000004440	1.32250445
S000004325	S000002998	1.32851011
S000001057	S000004421	1.11009199
S000000904	S000000919	1.39113493
S000000205	S000006040	1.11283246
S000003266	S000005589	1.40496641
S000000780	S000002790	1.64155503
S000001280	S000001052	1.55028279
S000003044	S000003157	1.44701085
S000004038	S000001314	1.54820402
S000001451	S000004926	1.14313939
S000005013	S000002999	1.4778711
S000006306	S000004317	1.88603765
S000003317	S000003380	1.68633245
S000006391	S000002156	1.36191056
S000004175	S000005245	1.30160415
S000001183	S000006064	1.53441211
S000005481	S000006052	1.79728755
S000005153	S000001063	1.11277714
S000005708	S000001802	1.36787233
S000001905	S000005735	1.27992943
S000004051	S000005399	1.44499248
S000006002	S000003115	1.42354563
S000001395	S000004051	1.46248589
S000003884	S000002233	1.35599624
S000003169	S000001022	1.1072775
S000001246	S000002999	1.59239645
S000000003	S000003884	1.23991544
S000003968	S000003317	1.92896433
S000004286	S000001633	1.1363961
S000000003	S000002239	1.17079724
S000003860	S000003927	1.12675826
S000005708	S000004433	1.24377437
S000006011	S000001314	1.50698578
S000001489	S000003266	1.58494129
S000001331	S000005802	1.25405811
S000003726	S000002239	1.16239522
S000005040	S000003115	1.42094971
S000004732	S000005559	1.24961817
S000004530	S000001525	1.14959515
S000003713	S000006052	1.75255213
S000000904	S000003906	1.46755859
S000000214	S000004975	1.79613392
S000003906	S000005011	1.51851241
S000001767	S000005013	1.39235126
S000001057	S000003434	1.24550568
S000004175	S000004051	1.25280031
S000006011	S000001007	1.36540398
S000005621	S000001280	1.12174343
S000004051	S000003091	1.49383885
S000003968	S000004855	1.38292923
S000001246	S000002233	1.19724759
S000000070	S000004351	1.33304633
S000000876	S000005589	1.3070934
S000001924	S000004530	1.15526682
S000000451	S000005085	1.17728348
S000002764	S000006174	1.12652647
S000003446	S000005589	1.62388426
S000001314	S000000235	1.12539021
S000002908	S000002826	1.1063367
S000001765	S000000933	1.70961381
S000002520	S000002977	1.26220398
S000000003	S000004332	1.23108381
S000004019	S000004433	1.28708575
S000005106	S000003115	1.38803398
S000002233	S000002239	1.20301238
S000001246	S000003115	1.60538548
S000006000	S000003115	1.551968
S000002908	S000005839	1.18180624
S000000876	S000005819	1.43858944
S000004065	S000005839	1.49917672
S000000180	S000002314	1.21080337
S000006119	S000002466	1.10783706
S000000135	S000000451	1.21550524
S000001492	S000004336	1.18394414
S000000385	S000002790	1.27204317
S000005760	S000003115	1.57237377
S000004019	S000005399	1.1598127
S000003044	S000003380	1.35241322
S000005896	S000000385	1.43201529
S000000168	S000000627	1.1699796
S000002764	S000002661	1.12078123
S000000904	S000002219	1.32785563
S000003446	S000002879	1.51605149
S000002219	S000000385	1.53097509
S000005481	S000005040	1.51168511
S000001395	S000003380	1.54503899
S000000168	S000004325	1.18022024
S000006002	S000005040	1.35013014
S000005400	S000005106	1.37909503
S000001802	S000005839	1.12256183
S000004359	S000006011	1.39983534
S000003884	S000002288	1.11648057
S000002219	S000002826	1.54459592
S000003726	S000005622	1.27651891
S000002998	S000006336	1.24960858
S000003317	S000004855	1.31818405
S000001410	S000001489	1.27506073
S000001543	S000006278	1.20524539
S000006011	S000004065	1.50624994
S000003115	S000002233	1.24880678
S000004728	S000004380	1.15166491
S000001331	S000002233	1.18712867
S000003259	S000004157	1.42975843
S000005708	S000001639	1.21220489
S000004351	S000006052	1.1726575
S000001410	S000005122	1.24958158
S000001007	S000001052	1.27997996
S000004440	S000005760	1.86366935
S000003203	S000004124	1.1109657
S000003259	S000006000	1.37134311
S000000780	S000001052	1.54197627
S000001664	S000001492	1.10368392
S000001802	S000005106	1.12339585
S000003672	S000000188	1.15081023
S000002908	S000000919	1.23449677
S000006064	S000004332	1.25244145
S000003350	S000004433	1.88163226
S000005708	S000002156	1.23249468
S000003044	S000002156	1.41219282
S000003446	S000001246	1.78618071
S000006064	S000005040	1.4815286
S000000003	S000000919	1.19814358
S000003350	S000003115	1.58651321
S000004157	S000004325	1.89544852
S000000395	S000000183	1.40071099
S000002219	S000005399	1.23142895
S000002826	S000004528	1.72211129
S000001401	S000004035	1.25390619
S000000904	S000000235	1.14535873
S000001410	S000004528	1.37135728
S000006119	S000005246	1.6192996
S000004380	S000000919	1.41171824
S000006391	S000006000	1.20173402
S000000904	S000004325	1.26845767
S000006052	S000005839	1.32960765
S000004754	S000005011	1.10001181
S000004038	S000005106	1.27316444
S000001410	S000006052	1.134458
S000006247	S000005802	1.27950506
S000003968	S000004065	1.95540685
S000004187	S000006002	1.11417491
S000001331	S000003115	1.44809911
S000002855	S000004528	1.19574157
S000005958	S000004065	1.37559918
S000003726	S000004380	1.30093114
S000004440	S000000627	1.25608759
S000004239	S000001664	1.1275365
S000000205	S000001492	1.11798778
S000005659	S000005480	1.12855004
S000002908	S000003672	1.4384484
S000003672	S000001395	1.31821522
S000001664	S000004441	1.24329001
S000002432	S000001410	1.10781934
S000006336	S000004051	1.23882204
S000001061	S000003091	1.32677226
S000003906	S000001063	1.14122532
S000006040	S000001841	1.11934208
S000001025	S000000183	1.35129183
S000001280	S000005819	1.46940656
S000005589	S000004336	1.11716554
S000003674	S000005399	1.16540494
S000004157	S000001280	1.12020236
S000006052	S000005802	1.17896992
S000003672	S000001331	1.3792822
S000000933	S000001052	1.38851597
S000003044	S000002999	1.46808165
S000004317	S000001183	1.43475432
S000004168	S000000737	1.13397002
S000005621	S000001489	1.10412141
S000003091	S000006284	1.12643651
S000005246	S000001236	1.20341134
S000001492	S000005192	1.29271756
S000003091	S000004332	1.2701134
S000001451	S000005085	1.3210481
S000001057	S000004200	1.55026244
S000002525	S000002520	1.16647188
S000003674	S000002998	1.23071855
S000003157	S000005487	1.60449111
S000003968	S000005013	1.74710721
S000001765	S000001314	1.74080715
S000001331	S000005487	1.45604156
S000005481	S000001063	1.13481863
S000001767	S000000919	1.29260621
S000006336	S000003115	1.56935913
S000006002	S000004175	1.47456891
S000004440	S000001007	1.4761842
S000005122	S000001331	1.41828791
